UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
42,9/12/2017,First,NC,194.6,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,197.608,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,207.61,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,218.367,965,NA,NA,Female Off Log,NA,Male1 ALAD,
42,9/12/2017,First,NC,220.614,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
42,9/12/2017,First,NC,222.125,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,229.382,965,NA,NA,Female Off Log,NA,End,
44,9/12/2017,Luis,NC,0.411,296,NA,NA,Female Off Log,NA,Start,NA
44,9/12/2017,Luis,NC,5.659,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,18.935,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,20.433,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,32.935,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,33.93,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,34.935,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,35.682,296,NA,NA,Female Off Log,NA,Male1 BowRight,NA
44,9/12/2017,Luis,NC,37.191,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,38.189,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,38.952,296,NA,NA,Female Off Log,NA,Male1 Switch,NA
44,9/12/2017,Luis,NC,39.691,296,NA,NA,Female Off Log,NA,Male1 BowLeft,NA
44,9/12/2017,Luis,NC,39.942,296,NA,NA,Female Off Log,NA,Male1 BowRight,NA
44,9/12/2017,Luis,NC,46.957,296,NA,NA,Female Off Log,NA,Male1 ALAD,NA
44,9/12/2017,Luis,NC,48.955,296,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,NA
44,9/12/2017,Luis,NC,53.453,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,58.707,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,58.802,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,64.218,296,NA,NA,Female Off Log,NA,Male1 BowLeft,NA
44,9/12/2017,Luis,NC,65.107,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,85.488,296,NA,NA,Female Off Log,NA,Male1 BowLeft,NA
44,9/12/2017,Luis,NC,86.498,296,NA,NA,Female Off Log,NA,Male1 BowRight,NA
44,9/12/2017,Luis,NC,86.93,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
44,9/12/2017,Luis,NC,105.997,296,NA,NA,Female Off Log,NA,Male1 ALAD,NA
44,9/12/2017,Luis,NC,107.996,296,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,NA
44,9/12/2017,Luis,NC,108.763,296,NA,NA,Female Off Log,NA,Male1 On Log No Display,NA
